#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000  -24.2101  -24.2101  -24.2073  -24.2073  -24.1807  -24.1807  -24.1806  -24.1806  -21.2561  -21.2561  -21.2510  -21.2510  -21.2321  -21.2321  -21.2291  -21.2291  -21.2136  -21.2136  -21.2100  -21.2100  -11.5262  -11.5262  -10.2178  -10.2178   -8.3178   -8.3178   -7.1721   -7.1721   -3.0428   -3.0428   -2.4144   -2.4144   -1.6073   -1.6073   -1.1788   -1.1788   -0.3356   -0.3356   -0.1454   -0.1454    0.0825    0.0825    0.6471    0.6471    1.7329    1.7329    2.3909    2.3914
  0.0224  -24.2102  -24.2101  -24.2074  -24.2073  -24.1807  -24.1807  -24.1806  -24.1806  -21.2561  -21.2561  -21.2510  -21.2509  -21.2321  -21.2321  -21.2292  -21.2291  -21.2137  -21.2136  -21.2101  -21.2100  -11.5249  -11.5246  -10.2222  -10.2218   -8.3148   -8.3119   -7.1744   -7.1713   -3.0600   -3.0235   -2.4238   -2.4018   -1.6290   -1.5942   -1.1823   -1.1711   -0.3602   -0.3518   -0.1867   -0.1092    0.0417    0.1644    0.6394    0.6538    1.7337    1.7390    2.3763    2.4097
  0.0447  -24.2102  -24.2101  -24.2074  -24.2073  -24.1808  -24.1807  -24.1806  -24.1806  -21.2561  -21.2560  -21.2511  -21.2509  -21.2321  -21.2320  -21.2292  -21.2291  -21.2137  -21.2135  -21.2101  -21.2100  -11.5207  -11.5201  -10.2350  -10.2342   -8.3030   -8.2973   -7.1781   -7.1719   -3.0750   -3.0023   -2.4300   -2.3861   -1.6592   -1.5895   -1.1818   -1.1593   -0.4213   -0.4023   -0.2072   -0.1252    0.0827    0.2568    0.6307    0.6593    1.7405    1.7526    2.3646    2.4302
  0.0671  -24.2102  -24.2101  -24.2074  -24.2073  -24.1808  -24.1808  -24.1806  -24.1805  -21.2560  -21.2559  -21.2512  -21.2509  -21.2322  -21.2320  -21.2292  -21.2291  -21.2137  -21.2134  -21.2102  -21.2100  -11.5136  -11.5126  -10.2555  -10.2543   -8.2829   -8.2744   -7.1833   -7.1741   -3.0876   -2.9792   -2.4328   -2.3675   -1.6977   -1.5927   -1.1771   -1.1435   -0.4999   -0.4801   -0.2169   -0.1571    0.1622    0.3493    0.6210    0.6637    1.7522    1.7742    2.3557    2.4544
  0.0894  -24.2101  -24.2100  -24.2075  -24.2073  -24.1808  -24.1808  -24.1805  -24.1805  -21.2560  -21.2558  -21.2512  -21.2509  -21.2322  -21.2320  -21.2293  -21.2292  -21.2138  -21.2134  -21.2103  -21.2100  -11.5037  -11.5023  -10.2833  -10.2817   -8.2552   -8.2439   -7.1900   -7.1777   -3.0975   -2.9544   -2.4320   -2.3461   -1.7444   -1.6037   -1.1684   -1.1238   -0.5838   -0.5752   -0.2238   -0.1844    0.2492    0.4364    0.6105    0.6669    1.7674    1.8041    2.3500    2.4819
  0.1118  -24.2101  -24.2099  -24.2075  -24.2074  -24.1809  -24.1808  -24.1805  -24.1805  -21.2559  -21.2557  -21.2513  -21.2509  -21.2322  -21.2319  -21.2294  -21.2292  -21.2138  -21.2133  -21.2104  -21.2100  -11.4908  -11.4892  -10.3174  -10.3154   -8.2209   -8.2069   -7.1983   -7.1831   -3.1046   -2.9280   -2.4275   -2.3217   -1.7984   -1.6219   -1.1555   -1.1002   -0.6791   -0.6686   -0.2303   -0.2078    0.3350    0.5138    0.5991    0.6688    1.7846    1.8424    2.3475    2.5173
  0.1341  -24.2101  -24.2099  -24.2076  -24.2074  -24.1809  -24.1809  -24.1805  -24.1804  -21.2558  -21.2556  -21.2514  -21.2509  -21.2322  -21.2319  -21.2295  -21.2293  -21.2137  -21.2132  -21.2105  -21.2101  -11.4751  -11.4732  -10.3570  -10.3546   -8.1810   -8.1642   -7.2083   -7.1901   -3.1086   -2.8999   -2.4191   -2.2946   -1.8591   -1.6470   -1.1387   -1.0728   -0.7868   -0.7525   -0.2371   -0.2296    0.4157    0.5784    0.5869    0.6694    1.8029    1.8895    2.3502    2.5396
  0.1565  -24.2100  -24.2098  -24.2077  -24.2075  -24.1809  -24.1809  -24.1804  -24.1804  -21.2557  -21.2554  -21.2515  -21.2510  -21.2322  -21.2318  -21.2296  -21.2294  -21.2137  -21.2130  -21.2106  -21.2101  -11.4566  -11.4543  -10.4011  -10.3983   -8.1364   -8.1170   -7.2199   -7.1990   -3.1093   -2.8701   -2.4068   -2.2647   -1.9253   -1.6784   -1.1180   -1.0419   -0.8953   -0.8350   -0.2511   -0.2443    0.4882    0.5740    0.6274    0.6688    1.8218    1.9455    2.3478    2.5181
  0.1789  -24.2100  -24.2097  -24.2078  -24.2075  -24.1810  -24.1809  -24.1804  -24.1804  -21.2555  -21.2552  -21.2516  -21.2510  -21.2322  -21.2318  -21.2297  -21.2294  -21.2137  -21.2129  -21.2107  -21.2102  -11.4353  -11.4327  -10.4488  -10.4456   -8.0882   -8.0662   -7.2334   -7.2098   -3.1065   -2.8385   -2.3905   -2.2321   -1.9960   -1.7156   -1.0936   -1.0075   -1.0028   -0.9159   -0.2733   -0.2520    0.5502    0.5607    0.6595    0.6670    1.8422    2.0101    2.3484    2.5093
  0.2012  -24.2099  -24.2096  -24.2078  -24.2076  -24.1810  -24.1810  -24.1804  -24.1803  -21.2553  -21.2550  -21.2517  -21.2511  -21.2322  -21.2317  -21.2298  -21.2295  -21.2136  -21.2128  -21.2109  -21.2103  -11.4112  -11.4083  -10.4993  -10.4958   -8.0374   -8.0129   -7.2489   -7.2227   -3.0998   -2.8052   -2.3699   -2.1968   -2.0701   -1.7581   -1.1082   -1.0655   -0.9952   -0.9698   -0.2965   -0.2602    0.5469    0.5998    0.6641    0.6746    1.8656    2.0824    2.3507    2.5135
