#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000  -24.6236  -24.6236  -24.6236  -24.6236  -24.5947  -24.5947  -24.5937  -24.5937  -21.6728  -21.6728  -21.6715  -21.6715  -21.6480  -21.6480  -21.6476  -21.6476  -21.6277  -21.6277  -21.6266  -21.6266  -11.8030  -11.8030  -11.7956  -11.7956   -7.9694   -7.9694   -7.9234   -7.9234   -3.4138   -3.4138   -3.0003   -3.0003   -1.9863   -1.9863   -1.6611   -1.6611   -1.0269   -1.0269   -1.0181   -1.0181    0.4143    0.4143    0.6130    0.6130    2.0528    2.0528    2.6106    2.6106    2.6952    2.6952    2.9237    2.9237    3.9806    3.9844    4.0031
  0.0224  -24.6238  -24.6238  -24.6234  -24.6234  -24.5947  -24.5947  -24.5937  -24.5937  -21.6730  -21.6725  -21.6718  -21.6712  -21.6482  -21.6478  -21.6477  -21.6475  -21.6279  -21.6274  -21.6268  -21.6264  -11.8550  -11.8477  -11.7491  -11.7415   -8.0082   -7.9621   -7.9341   -7.8885   -3.4892   -3.3310   -3.0808   -2.9137   -2.0390   -1.9328   -1.7127   -1.6100   -1.0718   -1.0584   -0.9844   -0.9812    0.3903    0.4467    0.5981    0.6346    2.0357    2.0614    2.6035    2.6074    2.6725    2.7115    2.9108    2.9294    3.9422    3.9560    4.0348
  0.0447  -24.6239  -24.6239  -24.6233  -24.6232  -24.5947  -24.5946  -24.5937  -24.5937  -21.6732  -21.6723  -21.6721  -21.6709  -21.6483  -21.6479  -21.6476  -21.6473  -21.6281  -21.6272  -21.6270  -21.6261  -11.9048  -11.8978  -11.6934  -11.6857   -8.0504   -8.0047   -7.9023   -7.8574   -3.5566   -3.2410   -3.1545   -2.8214   -2.0909   -1.8784   -1.7646   -1.5598   -1.1189   -1.1023   -0.9470   -0.9443    0.3752    0.4867    0.5902    0.6626    2.0100    2.0618    2.5850    2.5959    2.6408    2.7237    2.8900    2.9289    3.9065    3.9114    4.0716
  0.0671  -24.6241  -24.6241  -24.6231  -24.6231  -24.5947  -24.5946  -24.5938  -24.5937  -21.6735  -21.6724  -21.6721  -21.6707  -21.6485  -21.6480  -21.6474  -21.6471  -21.6283  -21.6272  -21.6269  -21.6259  -11.9524  -11.9457  -11.6362  -11.6285   -8.0958   -8.0511   -7.8737   -7.8301   -3.6160   -3.2213   -3.1447   -2.7245   -2.1418   -1.8229   -1.8165   -1.5110   -1.1678   -1.1497   -0.9145   -0.9064    0.3687    0.5330    0.5892    0.6958    1.9762    2.0544    2.5555    2.5758    2.6005    2.7335    2.8617    2.9236    3.8687    3.8717    4.1164
  0.0894  -24.6242  -24.6242  -24.6229  -24.6229  -24.5947  -24.5946  -24.5938  -24.5937  -21.6738  -21.6728  -21.6719  -21.6705  -21.6486  -21.6481  -21.6472  -21.6470  -21.6285  -21.6274  -21.6267  -21.6257  -11.9976  -11.9912  -11.5777  -11.5700   -8.1443   -8.1009   -7.8484   -7.8063   -3.6670   -3.2811   -3.0429   -2.6243   -2.1917   -1.8680   -1.7657   -1.4639   -1.2181   -1.2000   -0.8827   -0.8705    0.3705    0.5842    0.5946    0.7327    1.9347    2.0400    2.5166    2.5333    2.5668    2.7415    2.8265    2.9147    3.8267    3.8361    4.0681
  0.1118  -24.6244  -24.6244  -24.6228  -24.6228  -24.5946  -24.5946  -24.5938  -24.5938  -21.6740  -21.6731  -21.6717  -21.6703  -21.6488  -21.6482  -21.6470  -21.6468  -21.6287  -21.6276  -21.6264  -21.6255  -12.0403  -12.0342  -11.5183  -11.5107   -8.1956   -8.1538   -7.8260   -7.7859   -3.7099   -3.3340   -2.9363   -2.5224   -2.2402   -1.9192   -1.7058   -1.4188   -1.2691   -1.2524   -0.8503   -0.8362    0.3800    0.6059    0.6381    0.7714    1.8867    2.0192    2.4677    2.4702    2.5423    2.7481    2.7858    2.9037    3.7847    3.7987    4.0162
  0.1341  -24.6246  -24.6246  -24.6226  -24.6226  -24.5946  -24.5946  -24.5938  -24.5938  -21.6743  -21.6734  -21.6715  -21.6701  -21.6488  -21.6483  -21.6468  -21.6467  -21.6289  -21.6278  -21.6262  -21.6253  -12.0803  -12.0746  -11.4583  -11.4508   -8.2492   -8.2094   -7.8064   -7.7684   -3.7447   -3.3803   -2.8264   -2.4210   -2.2871   -1.9700   -1.6420   -1.3757   -1.3202   -1.3061   -0.8161   -0.8030    0.3965    0.6225    0.6924    0.8088    1.8339    1.9933    2.3899    2.4183    2.5188    2.7412    2.7533    2.8916    3.7428    3.7592    3.9779
  0.1565  -24.6247  -24.6247  -24.6225  -24.6225  -24.5946  -24.5945  -24.5938  -24.5938  -21.6745  -21.6737  -21.6713  -21.6700  -21.6489  -21.6484  -21.6466  -21.6465  -21.6290  -21.6280  -21.6260  -21.6252  -12.1177  -12.1123  -11.3981  -11.3907   -8.3045   -8.2672   -7.7894   -7.7538   -3.7717   -3.4203   -2.7143   -2.3320   -2.3227   -2.0203   -1.5725   -1.3706   -1.3600   -1.3342   -0.7795   -0.7706    0.4189    0.6434    0.7442    0.8411    1.7790    1.9632    2.3032    2.3626    2.4962    2.6949    2.7574    2.8790    3.7012    3.7180    3.9294
  0.1789  -24.6248  -24.6248  -24.6224  -24.6223  -24.5946  -24.5945  -24.5939  -24.5938  -21.6747  -21.6741  -21.6712  -21.6698  -21.6490  -21.6484  -21.6464  -21.6463  -21.6292  -21.6282  -21.6257  -21.6250  -12.1523  -12.1473  -11.3381  -11.3310   -8.3610   -8.3263   -7.7748   -7.7417   -3.7913   -3.4546   -2.6018   -2.3744   -2.2304   -2.0701   -1.4950   -1.4198   -1.4131   -1.2935   -0.7399   -0.7388    0.4463    0.6678    0.7901    0.8633    1.7260    1.9304    2.2103    2.3045    2.4757    2.6488    2.7604    2.8666    3.6605    3.6760    3.8846
  0.2012  -24.6250  -24.6250  -24.6222  -24.6222  -24.5946  -24.5945  -24.5939  -24.5938  -21.6750  -21.6744  -21.6710  -21.6697  -21.6490  -21.6485  -21.6462  -21.6462  -21.6293  -21.6284  -21.6255  -21.6248  -12.1841  -12.1795  -11.2789  -11.2722   -8.4179   -8.3860   -7.7622   -7.7318   -3.8038   -3.4838   -2.4908   -2.4140   -2.1469   -2.1193   -1.4670   -1.4642   -1.4075   -1.2523   -0.7076   -0.6973    0.4780    0.6946    0.8262    0.8693    1.6796    1.8959    2.1146    2.2452    2.4586    2.6052    2.7627    2.8547    3.6213    3.6342    3.8446
