#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000  -35.7277  -35.7277  -35.6991  -35.6991  -35.0061  -35.0060  -34.9826  -34.9825  -34.9688  -34.9688  -24.2482  -24.2419  -24.2115  -24.2091  -21.2978  -21.2839  -21.2743  -21.2645  -21.2385  -21.2378  -10.1516  -10.1440   -9.9798   -9.9178   -3.9390   -3.3592   -2.5412   -1.8472   -1.8214   -1.7961    1.5195    1.9095    2.6642    3.3755    3.5126    3.5447    6.5292    6.6304    6.6485    6.7880    6.8107    7.0370    7.3171    7.3843
  0.0526  -35.7277  -35.7277  -35.6991  -35.6991  -35.0061  -35.0060  -34.9826  -34.9825  -34.9688  -34.9688  -24.2482  -24.2419  -24.2114  -24.2091  -21.2978  -21.2842  -21.2740  -21.2645  -21.2385  -21.2378  -10.2435  -10.2299   -9.8844   -9.8370   -3.9221   -3.3411   -2.5641   -1.9296   -1.8178   -1.6908    1.5369    1.9278    2.6444    3.3450    3.4766    3.5490    6.4632    6.5975    6.6431    6.7457    6.8052    6.8856    7.3504    7.4848
  0.1053  -35.7277  -35.7277  -35.6991  -35.6991  -35.0061  -35.0060  -34.9826  -34.9825  -34.9688  -34.9688  -24.2482  -24.2421  -24.2114  -24.2091  -21.2979  -21.2849  -21.2734  -21.2644  -21.2386  -21.2378  -10.4031  -10.3832   -9.7258   -9.6858   -3.8718   -3.2866   -2.6271   -2.0542   -1.7455   -1.5601    1.5856    1.9789    2.5863    3.2416    3.4242    3.5414    6.2656    6.4698    6.6207    6.6807    6.7385    6.8252    7.1971    7.3079
  0.1579  -35.7277  -35.7277  -35.6991  -35.6991  -35.0061  -35.0060  -34.9826  -34.9825  -34.9688  -34.9688  -24.2482  -24.2424  -24.2113  -24.2092  -21.2981  -21.2860  -21.2725  -21.2644  -21.2387  -21.2379  -10.5771  -10.5552   -9.5522   -9.5157   -3.7909   -3.1965   -2.7109   -2.1795   -1.6395   -1.4206    1.6572    2.0542    2.4953    3.0920    3.3655    3.5211    6.0220    6.2103    6.5852    6.5983    6.7254    6.7778    7.0718    7.1346
  0.2105  -35.7277  -35.7277  -35.6991  -35.6991  -35.0061  -35.0060  -34.9826  -34.9825  -34.9688  -34.9688  -24.2481  -24.2429  -24.2113  -24.2092  -21.2982  -21.2872  -21.2716  -21.2643  -21.2389  -21.2380  -10.7572  -10.7348   -9.3710   -9.3370   -3.6841   -3.0731   -2.7953   -2.2969   -1.5143   -1.2764    1.7387    2.1401    2.3825    2.9307    3.3006    3.4887    5.7753    5.9375    6.4772    6.5106    6.6075    6.6593    6.9018    6.9126
  0.2632  -35.7278  -35.7277  -35.6991  -35.6991  -35.0061  -35.0061  -34.9826  -34.9825  -34.9689  -34.9688  -24.2482  -24.2434  -24.2112  -24.2092  -21.2985  -21.2885  -21.2706  -21.2642  -21.2393  -21.2382  -10.9391  -10.9167   -9.1863   -9.1544   -3.5598   -2.9198   -2.8607   -2.3986   -1.3799   -1.1315    1.8090    2.2118    2.2680    2.7858    3.2400    3.4467    5.5402    5.6785    6.2885    6.2971    6.4756    6.5073    6.6807    6.7042
  0.3158  -35.7278  -35.7277  -35.6991  -35.6991  -35.0061  -35.0061  -34.9826  -34.9825  -34.9689  -34.9689  -24.2482  -24.2440  -24.2111  -24.2093  -21.2987  -21.2899  -21.2696  -21.2642  -21.2397  -21.2385  -11.1194  -11.0973   -9.0019   -8.9719   -3.4336   -2.8873   -2.7389   -2.4767   -1.2433   -0.9903    1.8333    2.1674    2.2430    2.6914    3.1963    3.4029    5.3220    5.4384    6.0719    6.0825    6.2514    6.2626    6.5159    6.5467
  0.3685  -35.7278  -35.7278  -35.6991  -35.6991  -35.0062  -35.0061  -34.9826  -34.9825  -34.9689  -34.9689  -24.2483  -24.2447  -24.2111  -24.2093  -21.2989  -21.2912  -21.2686  -21.2641  -21.2403  -21.2388  -11.2950  -11.2735   -8.8219   -8.7933   -3.3288   -2.8452   -2.5559   -2.5058   -1.1100   -0.8573    1.7834    2.1109    2.1944    2.6672    3.1746    3.3736    5.1229    5.2179    5.8631    5.8818    6.0092    6.0176    6.3362    6.3585
  0.4211  -35.7278  -35.7278  -35.6991  -35.6991  -35.0062  -35.0062  -34.9826  -34.9825  -34.9689  -34.9689  -24.2484  -24.2454  -24.2111  -24.2093  -21.2991  -21.2926  -21.2676  -21.2640  -21.2409  -21.2392  -11.4635  -11.4428   -8.6504   -8.6225   -3.2550   -2.7253   -2.5456   -2.3077   -0.9842   -0.7368    1.6880    2.0510    2.1103    2.6781    3.1594    3.3809    4.9436    5.0166    5.6688    5.6903    5.7834    5.7928    6.1425    6.1527
  0.4737  -35.7278  -35.7278  -35.6992  -35.6991  -35.0062  -35.0062  -34.9826  -34.9825  -34.9689  -34.9689  -24.2486  -24.2461  -24.2110  -24.2093  -21.2994  -21.2940  -21.2667  -21.2639  -21.2416  -21.2397  -11.6227  -11.6032   -8.4914   -8.4633   -3.1889   -2.5690   -2.4989   -2.0742   -0.8695   -0.6325    1.5857    1.9688    2.0163    2.6849    3.1350    3.4237    4.7833    4.8334    5.4841    5.5044    5.5822    5.5931    5.9427    5.9492
